-237, -150, -471
-237, -150, -471
-242, -136, -464
-242, -136, -464
-242, -136, -464
-248, -120, -469
-248, -120, -469
-252, -109, -462
-252, -109, -462
-256, -95, -465
-256, -95, -465
-256, -70, -470
-256, -70, -470
-256, -70, -470
-258, -57, -469
-258, -57, -469
-257, -45, -471
-257, -45, -471
-257, -27, -466
-257, -27, -466
-257, -7, -466
-254, -7, -471
-254, -7, -471
-251, -1, -465
-251, -1, -465
-247, 17, -467
-247, 17, -467
-241, 33, -467
-241, 33, -467
-241, 33, -467
-234, 46, -468
-234, 46, -468
-229, 54, -470
-229, 54, -470
-227, 66, -462
-227, 66, -462
-227, 79, -459
-219, 79, -459
-219, 79, -459
-212, 86, -455
-212, 86, -455
-206, 98, -455
-206, 98, -455
-194, 110, -455
-194, 110, -455
-194, 110, -455
-181, 118, -452
-181, 118, -452
-175, 125, -455
-175, 125, -455
-158, 138, -452
-158, 138, -452
-158, 145, -456
-151, 145, -456
-151, 145, -456
-131, 148, -454
-131, 148, -454
-115, 156, -458
-115, 156, -458
-103, 163, -457
-103, 163, -457
-103, 163, -457
-86, 166, -460
-86, 166, -460
-73, 165, -459
-73, 165, -459
-56, 172, -457
-56, 172, -457
-41, 170, -464
-41, 170, -464
-41, 170, -464
-24, 166, -459
-24, 166, -459
-13, 169, -463
-13, 169, -463
2, 171, -462
2, 171, -462
2, 171, -462
22, 163, -465
22, 163, -465
33, 155, -464
33, 155, -464
50, 153, -461
50, 153, -461
64, 146, -470
64, 146, -470
64, 146, -470
79, 136, -465
79, 136, -465
90, 125, -472
90, 125, -472
101, 118, -474
101, 118, -474
101, 118, -474
116, 105, -474
116, 105, -474
124, 93, -475
124, 93, -475
132, 90, -473
132, 90, -473
143, 71, -480
143, 71, -480
143, 71, -480
151, 54, -475
151, 54, -475
157, 42, -478
157, 42, -478
162, 30, -478
162, 30, -478
162, 30, -478
168, 8, -479
168, 8, -479
171, -6, -479
171, -6, -479
173, -17, -477
173, -17, -477
174, -33, -485
174, -33, -485
174, -33, -485
174, -53, -480
174, -53, -480
172, -68, -483
172, -68, -483
174, -74, -479
174, -74, -479
174, -99, -479
167, -99, -483
167, -99, -483
162, -114, -482
162, -114, -482
155, -128, -480
155, -128, -480
149, -141, -487
149, -141, -487
149, -141, -487
143, -157, -482
143, -157, -482
133, -168, -491
133, -168, -491
116, -182, -489
116, -182, -489
116, -196, -489
104, -196, -489
104, -196, -489
94, -208, -487
94, -208, -487
80, -217, -485
80, -217, -485
68, -223, -491
68, -223, -491
68, -223, -491
52, -234, -486
52, -234, -486
41, -242, -488
41, -242, -488
25, -244, -487
25, -244, -487
7, -249, -486
7, -249, -486
7, -249, -486
-7, -255, -485
-7, -255, -485
-21, -258, -481
-21, -258, -481
-38, -257, -488
-38, -257, -488
-38, -257, -488
-56, -258, -481
-56, -258, -481
-70, -259, -483
-70, -259, -483
-83, -255, -482
-83, -255, -482
-98, -250, -482
-98, -250, -482
-98, -250, -482
-112, -252, -481
-112, -252, -481
-128, -243, -477
-128, -243, -477
-141, -234, -482
-141, -234, -482
-141, -234, -482
-159, -228, -475
-159, -228, -475
-170, -224, -477
-170, -224, -477
-176, -223, -467
-176, -223, -467
-187, -215, -468
-187, -215, -468
-187, -215, -468
-200, -201, -468
-200, -201, -468
-212, -192, -465
-212, -192, -465
-222, -176, -468
-222, -176, -468
-222, -176, -468
-231, -163, -460
-236, -151, -471
-236, -151, -471
-241, -150, -462
-241, -150, -462
-246, -134, -464
-246, -134, -464
-246, -115, -459
-252, -115, -459
-252, -115, -459
-257, -113, -455
-257, -113, -455
-259, -84, -462
-259, -84, -462
-261, -73, -461
-261, -73, -461
-261, -73, -461
-265, -65, -453
-265, -65, -453
-262, -42, -458
-262, -42, -458
-264, -28, -460
-264, -28, -460
-258, -6, -457
-258, -6, -457
-258, -6, -457
-259, -1, -451
